Suburb,Postcode,State,Country,Latitude,Longitude
Sydney,1021,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1022,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1023,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1025,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1026,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1027,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1028,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1029,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1030,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1031,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1032,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1033,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1034,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1035,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1036,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1037,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1038,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1039,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1040,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1041,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1042,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1043,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1044,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1045,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1046,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1100,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1101,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1105,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1106,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1107,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1108,New South Wales,Australia,-33.86784996,151.2073231
